Attendee ID,Event Id,Attendee Record Type,Company Name,Company Type,Job Title,Amount,Country,Weeks Out (by Close Date),Prospect Type,Lead Type,Stage
0062000000ecUdu,70120000000v4t7,Production,Emily Whitehead Foundation,,Co-Founder,0.00,United States,16,BtL,,Confirmed Speaker
0062000000ecUfX,70120000000v4t7,Production,Bellicum Pharmaceuticals,Drug Developer,Vice President - Product Discovery,,United States,16,BtL,,Confirmed Speaker
0062000000ecWQk,70120000000v4t7,Production,bluebird bio,Drug Developer,Vice President & Senior Director,,United States,16,BtL,,Confirmed Speaker
0062000000ebvlK,70120000000v4t7,Production,University Hospital of Cologne,Research Institute,Professor,,Germany,17,BtL,,Confirmed Speaker
0062000000ebvlo,70120000000v4t7,Production,Baylor College of Medicine,Research Institute,Associate Professor,0.00,United States,17,BtL,,Confirmed Speaker
0062000000ebvmS,70120000000v4t7,Production,Novartis AG,Drug Developer,Global Head Cell & Gene Therapies Unit,,United States,17,BtL,,Confirmed Speaker
0062000000ebune,70120000000v4t7,Production,Kite Pharma Inc,Drug Developer,IT Project Manager/Analysts III,,United States,17,BtL,,Confirmed Speaker
0062000000ebvna,70120000000v4t7,Production,Weizmann Institute of Science,Research Institute,Professor - Chemical & Cellular Immunology,,Israel,17,BtL,,Confirmed Speaker
0062000000ebvoE,70120000000v4t7,Production,Unum Therapeutics,Drug Developer,Chief Scientific Officer,0.00,United States,17,BtL,,Confirmed Speaker
0062000000ebvoY,70120000000v4t7,Production,Bellicum Pharmaceuticals,Drug Developer,"President & CEO, Member Of The Board Of Directors",,United States,17,BtL,,Confirmed Speaker
0062000000ebvpR,70120000000v4t7,Production,Celyad,Drug Developer,Chief Executive Officer Medicine,,Belgium,17,BtL,,Confirmed Sponsor Speaker
0062000000ebvqU,70120000000v4t7,Production,GlaxoSmithKline Plc,Drug Developer,"Former SVP and R&D Governance Chair, Oncology",,United Kingdom,17,BtL,,Confirmed Speaker
0062000000ebvrS,70120000000v4t7,Production,European Medicines Agency,"Executive, Legislative, and Other General Government Support",,,,17,BtL,,Confirmed Speaker
0062000000ebvrw,70120000000v4t7,Production,University of Pennsylvania,Research Institute,"Professor & Founding Director - Cancer Gene Therapy, Clinical Cell & Vaccine Production Facility Center for Cellular Immunotherapies",,United States,17,BtL,,Confirmed Speaker
0062000000ebvsf,70120000000v4t7,Production,University of Pennsylvania,Research Institute,Director - Cell Therapy & Transplantation Blood and Marrow Transplantation,,United States,17,BtL,,Confirmed Speaker
0062000000ebvt4,70120000000v4t7,Production,Rinat,Drug Developer,Chief Scientific Officer,0.00,United States,17,BtL,,Confirmed Speaker
0062000000ebvts,70120000000v4t7,Production,Geisel School of Medicine at Dartmouth,Research Institute,Professor & Director - Center for Synthetic Immunity,,United States,17,BtL,,Confirmed Speaker
0062000000ebvuq,70120000000v4t7,Production,Cellectis,Drug Developer,Vice President - Translational Sciences,,France,17,BtL,,Confirmed Speaker
0062000000f6UKf,70120000000v4t7,Delegates,EMD Serono,Drug Developer,Chief Scientific Officer Translational Immunotherapy,1559.31,United States,8,BtL,Content download,Confirmed Delegate
0062000000fgai6,70120000000v4t7,Delegates,Aurora Biopharma Inc.,Drug Developer,"Founder, Chairman & Chief Executive Officer",1583.39,United States,4,AtL,Active enquiry,Confirmed Delegate
0062000000fgl70,70120000000v4t7,Delegates,The Jackson Laboratory,Equipment & Service Providers,"Director - Business Development - Commercial Services & Strategy Director - Business Development, Commercial Strategy, Clinical & In Vivo Service",1345.13,United States,4,BtL,Sales Research ? Salesforce,No Show
0062000000ffSpU,70120000000v4t7,Delegates,Intellia Therapeutics,Drug Developer,Senior Vice President - Business Development,1559.31,United States,6,BtL,Sales Research ? Salesforce,Confirmed Delegate
0062000000ffStC,70120000000v4t7,Delegates,Agenus,Drug Developer,Chief Strategy Officer & Head of Finance,2078.65,United States,6,BtL,Click through,Confirmed Delegate
0062000000fglpU,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Vice President - Research,1372.32,United States,4,BtL,Sales Research ? Salesforce,Confirmed Delegate
0062000000ffVWh,70120000000v4t7,Delegates,Celgene Corporation Bristol Myers Squibb Co.,Drug Developer,"Senior Director, Precision Medicine Early Clinical Development and Experimental Sciences",1403.38,United States,6,AtL,Speaker referral,Confirmed Delegate
0062000000ffh6c,70120000000v4t7,Delegates,Bristol Myers Squibb,Drug Developer,Group Director - Immuno-Oncology Hematology Clinical Development Team & Early Clinical Development Program Lead,1583.39,United States,6,BtL,Click through,Confirmed Delegate
0062000000ffh76,70120000000v4t7,Delegates,Bristol Myers Squibb,Drug Developer,Director,1583.39,United States,6,BtL,Click through,Confirmed Delegate
0062000000ffifD,70120000000v4t7,Delegates,Celgene Corporation Bristol Myers Squibb Co.,Drug Developer,"Senior Director, Precision Medicine Early Clinical Development and Experimental Sciences",593.36,United States,6,AtL,Speaker referral,Workshop Upgrade
0062000000fg1rr,70120000000v4t7,Delegates,Aldevron,Equipment & Service Providers,Client Relations Manager Client Relations,1407.36,United States,10,AtL,Brochure download,Confirmed Delegate
0062000000fh9ln,70120000000v4t7,Delegates,Pfizer,Drug Developer,Senior Principal Scientist - Rinat Laboratories,1543.86,United States,4,BtL,Sales research,Confirmed Delegate
0062000000ffurM,70120000000v4t7,Delegates,Sorrento Therapeutics Inc.,Drug Developer,Principal Scientist & Group Leader,1583.39,United States,5,BtL,Allocated List,Confirmed Delegate
0062000000fgHvH,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Medical Director,1372.32,United States,5,BtL,Sales research,Confirmed Delegate
0062000000feRoO,70120000000v4t7,Delegates,Celgene Corporation Bristol Myers Squibb Co.,Drug Developer,"Director - Strategy, Innovation of Research & Development",1403.38,United States,6,AtL,Speaker referral,Confirmed Delegate
0062000000fgzbM,70120000000v4t7,Delegates,Pfizer,Drug Developer,Principal Scientist,1543.86,United States,4,BtL,Sales Research ? Salesforce,Confirmed Delegate
0062000000fgKbr,70120000000v4t7,Delegates,Millenium (Takeda),Drug Developer,"Associate Director - Global Portfolio Management, Strategic Affairs, Research & Development Qualitative Analytics",1715.40,United States,5,BtL,Sales Research ? Salesforce,Confirmed Delegate
0062000000fhXXJ,70120000000v4t7,Delegates,Alliance for Regenerative Medicine,Healthcare Providers,"Director - Gene Therapy, Tissue Engineering & Biomaterials Section",1028.97,United States,3,BtL,Click through,Confirmed Delegate
0062000000fh31E,70120000000v4t7,Delegates,Intrexon Corporation,Equipment & Service Providers,"Director, CMC Biologics",1715.40,United States,5,BtL,Click through,Confirmed Delegate
0062000000ftVy8,70120000000v4t7,Delegates,Bellicum Pharmaceuticals,Drug Developer,Founder,1543.86,United States,3,BtL,Click through,Confirmed Delegate
0062000000fuxn5,70120000000v4t7,Delegates,The Stevenson Group,Equipment & Service Providers,Managing Partner,2078.65,United States,8,AtL,Brochure download,Confirmed Delegate
0062000000ftLeU,70120000000v4t7,Delegates,China PLA General Hospital,Healthcare Providers,Director of Bio-therapeutic Department,1028.97,China,3,AtL,Speaker referral,Confirmed Delegate
0062000000ftLfS,70120000000v4t7,Delegates,Cellular Biomedicine Group (CBMG),Support Services,Chief Executive Officer,1543.86,United States,3,AtL,Brochure download,No Show
0062000000fukSA,70120000000v4t7,Delegates,Pfizer,Drug Developer,Principal Scientist,584.34,United States,1,BtL,Allocated List,Workshop Upgrade
0062000000ftSzJ,70120000000v4t7,Delegates,"Centre for Commercialization of Regenerative Medicine, Canada",Research Institute,Associate Business Development,1028.97,Canada,3,BtL,Allocated List,Confirmed Delegate
0062000000f48Bm,70120000000v4t7,Delegates,BioNTech Innovative Manufacturing Services GmbH,Equipment & Service Providers,Managing Director,1407.36,Germany,12,BtL,SPEX blowout,Confirmed Delegate
0062000000f4xuY,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Director - Medical,1918.72,United States,11,BtL,Click through,Confirmed Delegate
0062000000f4yAg,70120000000v4t7,Delegates,Cellectis,Drug Developer,Head of Laboratory,1407.36,United States,11,BtL,Click through,Confirmed Delegate
0062000000f58Lu,70120000000v4t7,Delegates,Novartis AG,Drug Developer,"Vice President, Global Head of Technical Research, Development, Cell & Gene Therapies Unit",1266.62,United States,10,BtL,Allocated List,Confirmed Delegate
0062000000f58NC,70120000000v4t7,Delegates,Novartis AG,Drug Developer,Head of Cell Therapies Pharmaceutical Sciences,1266.62,United States,10,BtL,Sales Research ? Salesforce,Confirmed Delegate
0062000000f4eUO,70120000000v4t7,Delegates,GlaxoSmithKline Plc,Drug Developer,Vice President & Head of Discovery Performance Unit Vaccines US,1266.62,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f6PTM,70120000000v4t7,Delegates,Kite Pharma Inc,Drug Developer,Scientist,1870.78,United States,8,AtL,Brochure download,Confirmed Delegate
0062000000f4tem,70120000000v4t7,Delegates,PharmaCell B.V.,Equipment & Service Providers,Director - Business Development & Project Management,1407.36,Netherlands,11,BtL,SPEX blowout,Confirmed Delegate
0062000000f42pp,70120000000v4t7,Delegates,Poseida Therapeutics,Drug Developer,"Chief Scientific Officer, Cell Therapies Preclinical Development & Immuno Oncology",2430.08,United States,12,AtL,Brochure download,Confirmed Delegate
0062000000f4MAd,70120000000v4t7,Delegates,MaxCyte,Equipment & Service Providers,Chief Scientific Officer & Executive Vice President - Cellular Therapies,1918.72,United States,12,BtL,SPEX blowout,Confirmed Delegate
0062000000f4RTb,70120000000v4t7,Delegates,OriGen Biomedical,Equipment & Service Providers,"President, Chief Executive Officer & Chairman Of The Board",1407.36,United States,12,AtL,Active enquiry,Confirmed Delegate
0062000000f5KJa,70120000000v4t7,Delegates,Pall Corp.,Equipment & Service Providers,"Director Strategy & Marketing, Cell Therapy",1407.36,United States,10,BtL,SPEX blowout,Confirmed Delegate
0062000000f7XEl,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Head & Vice President - Research & Process Sciences,1247.45,United States,7,AtL,Brochure download,Confirmed Delegate
0062000000f7XGm,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Head of Biotherapeutics Discovery Discovery,1247.45,United States,7,BtL,Click through,Confirmed Delegate
0062000000f7XIO,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Manager - Protein Biosciences,1247.45,United States,7,BtL,Click through,Confirmed Delegate
0062000000f7XIs,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Head of Scientific Operations,1247.45,United States,7,BtL,Click through,Confirmed Delegate
0062000000f7XJC,70120000000v4t7,Delegates,Novartis AG,Drug Developer,Senior Leader - Global Clinical & CTL019 Program,1403.38,United States,7,AtL,Speaker referral,Confirmed Delegate
0062000000f7XL3,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Scientist,1247.45,United States,7,BtL,Click through,Confirmed Delegate
0062000000f7XM1,70120000000v4t7,Delegates,Novartis AG,Drug Developer,Senior Lead - Global Clinical Apheresis,1403.38,United States,7,AtL,Speaker referral,Confirmed Delegate
0062000000f7XML,70120000000v4t7,Delegates,Juno Therapeutics,Drug Developer,Senior Scientist,1247.45,United States,7,BtL,Click through,Confirmed Delegate
0062000000f7jLd,70120000000v4t7,Delegates,Amgen Inc.,Drug Developer,Senior Scientist Therapeutic Innovation Unit,2597.99,United States,6,BtL,Click through,Confirmed Delegate
0062000000f7jwq,70120000000v4t7,Delegates,ZIOPHARM Oncology,Drug Developer,Vice President - Research & Development Research & Development,1403.38,United States,6,BtL,Click through,Confirmed Delegate
0062000000f6X2B,70120000000v4t7,Delegates,Cell Therapy Catapult,Equipment & Service Providers,Independent Consultant Process Development,1559.31,United Kingdom,8,AtL,Direct web booking,Confirmed Delegate
0062000000f6lGV,70120000000v4t7,Delegates,The Stevenson Group,Equipment & Service Providers,Senior Consultant,2078.65,United States,8,AtL,Brochure download,Confirmed Delegate
0062000000ffc0y,70120000000v4t7,Delegates,MasTherCell,Equipment & Service Providers,Deputy CEO,1535.36,Belgium,12,AtL,SPEX blowout,Confirmed Delegate
0062000000ffRXB,70120000000v4t7,Delegates,National Marrow Donor Program - Be The Match,,"Vice President, Business Development Strategic Sourcing and Initiatives",1246.67,United States,6,AtL,Direct web booking,Confirmed Delegate
0062000000ffSsi,70120000000v4t7,Delegates,National Marrow Donor Program - Be The Match,,Business Development Manager,1246.67,United States,6,AtL,Brochure download,Confirmed Delegate
0062000000ffTmy,70120000000v4t7,Delegates,Celyad,Drug Developer,Consultant,934.94,United States,6,AtL,Speaker referral,Workshops Only
0062000000ffVGt,70120000000v4t7,Delegates,Celyad,Drug Developer,Clinical Scientist,1766.92,United States,6,AtL,Speaker referral,Confirmed Delegate
0062000000fgbkJ,70120000000v4t7,Delegates,Sorrento Therapeutics Inc.,Drug Developer,cmo,1715.40,United States,4,AtL,Brochure download,Confirmed Delegate
0062000000fggB7,70120000000v4t7,Delegates,Roche Diagnostics GmbH,Drug Developer,CMO,1583.39,Switzerland,3,AtL,Brochure download,Confirmed Delegate
0062000000ffkZ9,70120000000v4t7,Delegates,Triumvira Immunologics Inc,Healthcare Providers,Chief Scientific Officer & Co Founder,1425.05,Canada,6,AtL,Active enquiry,Confirmed Delegate
0062000000ffkZE,70120000000v4t7,Delegates,Triumvira Immunologics Inc,Healthcare Providers,Managing Director,1425.05,Canada,6,AtL,Incomplete registration,Confirmed Delegate
0062000000ffl6r,70120000000v4t7,Delegates,"Johnson & Johnson Services, Inc",Drug Developer,Manager,1583.39,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fflxR,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Senior Manager - Clinical Planning & Project Management Clinical Planning & Network Operations,854.80,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fflxW,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Research RN,854.80,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fflxb,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Clinical Research Coordinator,854.80,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fg2JU,70120000000v4t7,Delegates,Novartis AG,Drug Developer,"Head of Manufacturing, Cell & Gene Therapy Unit",1543.86,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fg2Kw,70120000000v4t7,Delegates,Novartis AG,Drug Developer,"Site Head of Manufacturing Science, Technology, Cell & Gene Therapies Unit",1543.86,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000ffql5,70120000000v4t7,Delegates,CTI Clinical Trial & Consulting,Association,Senior Director,1425.05,United States,5,AtL,SPEX blowout,Confirmed Delegate
0062000000fhBuC,70120000000v4t7,Delegates,Roche Custom Biotech,Equipment & Service Providers,Account & Custombiotech Executive,1200.78,United States,4,AtL,Brochure download,Confirmed Delegate
0062000000fhajj,70120000000v4t7,Delegates,GE Healthcare,Equipment & Service Providers,General & Gene Therapy Manager Cell Bioprocessing,1372.32,United Kingdom,3,AtL,Sponsor booking,Confirmed Delegate
0062000000fg8qX,70120000000v4t7,Delegates,Invetech Inc.,Equipment & Service Providers,"Vice President - Business Development, Regenerative Medicine, Cell & Gene Therapy",1715.40,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fgAxW,70120000000v4t7,Delegates,MedImmune,Drug Developer,Senior Director - Analytical Development,2242.76,United States,5,AtL,Brochure download,Confirmed Delegate
0062000000fh28J,70120000000v4t7,Delegates,Cardinal Health,Equipment & Service Providers,"Director, Business Development Business Development",1372.32,United States,4,AtL,Sponsor booking,Confirmed Delegate
0062000000ffXqv,70120000000v4t7,Delegates,Cell Source Inc,Equipment & Service Providers,VP Business Development,2078.65,United States,6,AtL,Brochure download,No Show
0062000000ffXy1,70120000000v4t7,Press,University of Pennsylvania,Research Institute,Graduate student,,United States,5,AtL,Brochure download,Confirmed Press
0062000000fgUWm,70120000000v4t7,Delegates,Pfizer,Drug Developer,"Head of Strategy, Immunology Research Strategy & Operations",1715.40,United States,4,AtL,Incomplete registration,Confirmed Delegate
0062000000fhNLt,70120000000v4t7,Delegates,"PCT Cell Therapy Services, LLC",Equipment & Service Providers,Director - Innovation & Engineering,474.69,United States,3,AtL,Brochure download,Workshop Upgrade
0062000000fhXDd,70120000000v4t7,Delegates,Thermo Fisher Scientific Inc.,Equipment & Service Providers,Head of Cellular Medicine,1715.40,Norway,3,AtL,Incomplete registration,Confirmed Delegate
0062000000fgkQx,70120000000v4t7,Delegates,Ono Pharmaceuticals,Drug Developer,Senior Manager Business Development,1279.36,United States,16,AtL,Brochure download,Confirmed Delegate
0062000000fuHTm,70120000000v4t7,Delegates,"ImmunityBio, Inc.",Drug Developer,Chief Strategy Officer,1715.40,United States,2,AtL,Brochure download,Confirmed Delegate
0062000000fuHU6,70120000000v4t7,Delegates,"ImmunityBio, Inc.",Drug Developer,"Senior Vice President - Innovation, Strategy & Chief Commercial Officer",1715.40,United States,2,AtL,Brochure download,Confirmed Delegate
0062000000ftvVR,70120000000v4t7,Delegates,Berkeley Lights,Equipment & Service Providers,"Senior VP, Antibody Therapeutics Marketing",1715.40,United States,2,AtL,Incomplete registration,No Show
0062000000fuWjS,70120000000v4t7,Delegates,Triumvira Immunologics Inc,Healthcare Providers,President & Chief Executive Officer,1425.05,Canada,6,AtL,Active enquiry,Confirmed Delegate
0062000000ftkph,70120000000v4t7,Delegates,Sartorius,Equipment & Service Providers,Vice President - Sales Sales,1320.04,United States,2,AtL,Sponsor booking,Confirmed Delegate
0062000000fu4kZ,70120000000v4t7,Delegates,MedImmune,Drug Developer,Senior Director - Analytical Development,593.36,United States,2,AtL,Brochure download,Confirmed Delegate
0062000000fudQt,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,"Associate Chief Nurse, Research",1013.58,United States,1,AtL,Brochure download,Confirmed Delegate
0062000000fudR3,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Technical Director - Novel Cell Therapies,1013.58,United States,1,AtL,Brochure download,Confirmed Delegate
0062000000fuej1,70120000000v4t7,Delegates,Lonza,Equipment & Service Providers,Vice President of Strategic Innovation & Alliances Strategic Innovation,1689.31,United States,1,AtL,Incomplete registration,Confirmed Delegate
0062000000fukix,70120000000v4t7,Delegates,Pfizer,Drug Developer,Senior Principal Scientist - Rinat Laboratories,584.34,United States,1,BtL,Allocated List,Workshop Upgrade
0062000000edaH6,70120000000v4t7,Delegates,Invetech Inc.,Equipment & Service Providers,Vice President - Business Development,1559.31,United States,7,AtL,SPEX blowout,Confirmed Delegate
0062000000edTgG,70120000000v4t7,Delegates,Centre for Drug Research & Development,Drug Developer,Head of Biologics,844.16,Canada,10,AtL,Brochure download,Confirmed Delegate
0062000000edTv6,70120000000v4t7,Delegates,Roche Custom Biotech,Equipment & Service Providers,Cell Therapy Marketing Manager,1403.38,United States,10,AtL,SPEX blowout,Confirmed Delegate
0062000000edVVu,70120000000v4t7,Delegates,Lonza,Equipment & Service Providers,Head of Personalized Medicine Business Unit,1918.72,United States,14,AtL,SPEX blowout,Confirmed Delegate
0062000000f5ZKA,70120000000v4t7,Delegates,Roche Custom Biotech,Equipment & Service Providers,Marketing & Custom Biotech Manager,1403.38,United States,10,AtL,SPEX blowout,Confirmed Delegate
0062000000f5ZKF,70120000000v4t7,Delegates,Roche Custom Biotech,Equipment & Service Providers,Director CB,1403.38,United States,10,AtL,SPEX blowout,Confirmed Delegate
0062000000f62LL,70120000000v4t7,Delegates,Inbio Ventures,,scientific expert,2078.65,Russia,9,AtL,Active enquiry,Confirmed Delegate
0062000000f62dU,70120000000v4t7,Delegates,MPM Capital,Equipment & Service Providers,Managing Director & Chief Intellectual Property Counsel,2078.65,United States,9,AtL,Incomplete registration,Confirmed Delegate
0062000000f4qAF,70120000000v4t7,Delegates,Novartis AG,Drug Developer,Investigator I,1407.36,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f5nWX,70120000000v4t7,Delegates,Terumo BCT Europe N.V.,Equipment & Service Providers,Executive Director - Sales & Marketing,1704.49,United States,8,AtL,Content download,Confirmed Delegate
0062000000f4qdR,70120000000v4t7,Delegates,Pfizer,Drug Developer,Executive Director,1266.62,United States,10,AtL,Incomplete registration,Confirmed Delegate
0062000000f4YVX,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Vice President - Hematopoietic Stem Cell Transplantation & Cellular Therapies Cellular Therapies,675.33,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f57t2,70120000000v4t7,Delegates,Bionique Testing Laboratories Inc,Equipment & Service Providers,"Director - Research, Development & Molecular Diagnostics",1407.36,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f58Hx,70120000000v4t7,Delegates,InVitria,Equipment & Service Providers,"Vice President, Product Development Analytical Lab",1407.36,United States,11,AtL,SPEX blowout,Confirmed Delegate
0062000000f5QlX,70120000000v4t7,Delegates,MD Anderson Cancer Center,Healthcare Providers,Professor - Medicine,935.33,United States,10,AtL,Incomplete registration,Confirmed Delegate
0062000000f6NQg,70120000000v4t7,Delegates,Oxford Biomedica,Equipment & Service Providers,Head Of Clinical Analysis,1559.31,United Kingdom,7,AtL,SPEX blowout,Confirmed Delegate
0062000000f4eS7,70120000000v4t7,Delegates,Pfizer,Drug Developer,Senior Principal Scientist & Pharmaceutical Sciences Team Leader,1266.62,United States,10,AtL,Brochure download,Confirmed Delegate
0062000000f59Sb,70120000000v4t7,Delegates,CytomX Therapeutics,Drug Developer,Senior Scientist - Cancer Immunology Protein Chemistry,1918.72,United States,10,AtL,Brochure download,Confirmed Delegate
0062000000f59UD,70120000000v4t7,Delegates,Pfizer,Drug Developer,Director - Project Management,1266.62,United States,10,AtL,Brochure download,Confirmed Delegate
0062000000edzVg,70120000000v4t7,Delegates,Pfizer,Drug Developer,Director - Regulatory Affairs,1266.62,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f4HRC,70120000000v4t7,Delegates,Pennside Partners,Consultant,Research Analyst,1918.72,United States,12,AtL,SPEX blowout,Confirmed Delegate
0062000000f4ejF,70120000000v4t7,Delegates,California State Univ East Bay,Research Institute,Research Scientist,844.16,United States,10,AtL,Incomplete registration,Confirmed Delegate
0062000000f4eyn,70120000000v4t7,Delegates,Stemcell Technologies,Equipment & Service Providers,Senior Vice President - Business Development & Licensing,2187.07,Canada,11,AtL,Brochure download,Confirmed Delegate
0062000000f4f1c,70120000000v4t7,Delegates,Stemcell Technologies,Equipment & Service Providers,Associate Director - Product Management,2187.07,Canada,11,AtL,Brochure download,Confirmed Delegate
0062000000f5Hc3,70120000000v4t7,Delegates,bluebird bio,Drug Developer,Associate Manager,1948.65,United States,10,AtL,Active enquiry,Confirmed Delegate
0062000000f4uts,70120000000v4t7,Delegates,ACEA Biosciences,Equipment & Service Providers,Director - National Sales,1559.31,United States,10,AtL,Incomplete registration,Confirmed Delegate
0062000000f6CWT,70120000000v4t7,Delegates,MPM Capital,Equipment & Service Providers,Professor - Immunology,1325.32,Germany,9,AtL,Incomplete registration,No Show
0062000000f4lBw,70120000000v4t7,Delegates,NanoString Technologies,Equipment & Service Providers,Chief Medical Officer,1407.36,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f4xTs,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Clinical & Medicine Instructor,675.33,United States,11,AtL,Brochure download,Confirmed Delegate
0062000000f4xU7,70120000000v4t7,Delegates,Dana-Farber Cancer Institute,Hospitals,Nurse Director,675.33,United States,11,AtL,Brochure download,Confirmed Delegate
